model,repository,tasks,control_correctness,opencoder_correctness,absolute_difference,descriptive_only
gpt-4o-mini,Chronyk,2,0.0,0.0,0.0,True
gpt-4o-mini,PTable,4,0.0,0.0,0.0,True
gpt-4o-mini,PyPattyrn,4,0.0,0.0,0.0,True
gpt-4o-mini,algorithms,4,1.0,1.0,0.0,True
gpt-4o-mini,boltons,4,0.25,0.25,0.0,True
gpt-4o-mini,cacheout,2,1.0,1.0,0.0,True
gpt-4o-mini,compressed_rtf,4,0.0,0.0,0.0,True
gpt-4o-mini,css-html-js-minify,2,0.5,0.5,0.0,True
gpt-4o-mini,csv-diff,2,0.0,0.0,0.0,True
gpt-4o-mini,csvkit,4,0.25,0.0,-0.25,True
gpt-4o-mini,datetime_truncate,1,1.0,1.0,0.0,True
gpt-4o-mini,dict2css,2,0.0,0.0,0.0,True
gpt-4o-mini,dpath-python,4,0.0,0.0,0.0,True
gpt-4o-mini,eip712,3,0.6666666666666666,0.6666666666666666,0.0,True
gpt-4o-mini,eml_parser,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,True
gpt-4o-mini,fastkml,2,1.0,1.0,0.0,True
gpt-4o-mini,gruut,3,1.0,1.0,0.0,True
gpt-4o-mini,imageio,4,0.75,0.75,0.0,True
gpt-4o-mini,json_repair,4,0.0,0.0,0.0,True
gpt-4o-mini,maya,4,0.75,0.75,0.0,True
gpt-4o-mini,moment,4,0.5,0.5,0.0,True
gpt-4o-mini,more-itertools,4,0.0,0.0,0.0,True
gpt-4o-mini,msgpack-python,4,0.0,0.0,0.0,True
gpt-4o-mini,objprint,4,1.0,0.75,-0.25,True
gpt-4o-mini,pysrt,3,0.0,0.0,0.0,True
gpt-4o-mini,python-fastjsonschema,4,0.25,0.25,0.0,True
gpt-4o-mini,python-patterns,1,1.0,1.0,0.0,True
gpt-4o-mini,python-pinyin,3,0.6666666666666666,0.3333333333333333,-0.3333333333333333,True
gpt-4o-mini,python-sortedcontainers,3,0.0,0.0,0.0,True
gpt-4o-mini,shortuuid,2,0.5,0.5,0.0,True
gpt-4o-mini,sqlparse,4,0.25,0.25,0.0,True
gpt-4o-mini,textdistance,4,0.0,0.0,0.0,True
gpt-4o-mini,transitions,4,0.0,0.0,0.0,True
