agent_id,family,requested_model,served_model_match,planned,evaluable,missing,prompt_tokens,completion_tokens,total_tokens,mean_latency_seconds
G001,GPT,gpt-4o-mini,True,12,12,0,29571,1783,31354,4.701472913167284
G002,Claude,claude-sonnet-4-6,True,12,12,0,34957,3756,38713,7.591644857573556
G003,Gemini,gemini-2.5-flash-lite,True,12,10,2,33846,6580,40426,3.035576989427985
G004,DeepSeek,deepseek-v3.2,True,12,7,5,30603,12677,43280,31.95181495132662
G005,Qwen,qwen3-coder-plus,True,12,12,0,30119,2815,32934,3.7320022117346525
G006,Kimi,kimi-k2.7-code,True,12,9,3,21274,32609,53883,139.91531207977096
G007,Grok,grok-code-fast-1,True,12,12,0,31329,81752,113081,65.65810574642576
G008,Llama,llama-4-maverick,True,12,12,0,29482,1970,31452,3.8537771770885834
G009,GLM,glm-4.7,True,12,12,0,29448,31274,60722,37.36615038884338
G010,MiniMax,minimax-m2.5,True,12,12,0,29723,12112,41835,12.739800791847907
G011,Doubao,doubao-seed-2-0-code-preview-260215,True,12,12,0,33269,40862,74131,70.48732600698713
G012,ERNIE,ernie-4.5-turbo-32k,True,12,12,0,34347,3052,37399,10.228512791528678
