benchmark,backend,model,method,task_id,task_passed,correctness_mode,uncertainty,api_knowledge_uncertainty,gt_count,pred_count,true_positive_count,precision,recall,f1,jaccard,exact_set_match,count_outcome
RepoExec,GPT,gpt-4o-mini,Baseline RAG,test-apps/python-string-utils/0,True,execution_tests,0.4,1.0,2,4,2,0.5,1.0,0.6666666666666666,0.5,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoUncFilter,test-apps/python-string-utils/0,True,execution_tests,0.4,1.0,2,4,2,0.5,1.0,0.6666666666666666,0.5,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoAPIRefine,test-apps/python-string-utils/0,True,execution_tests,0.4,1.0,2,4,2,0.5,1.0,0.6666666666666666,0.5,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder,test-apps/python-string-utils/0,True,execution_tests,0.4,1.0,2,2,2,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,ContextOnly,test-apps/python-string-utils/0,True,execution_tests,0.4,,2,0,0,0.0,0.0,0.0,0.0,0.0,Under
RepoExec,GPT,gpt-4o-mini,API-informed reference,test-apps/python-string-utils/0,True,execution_tests,,,2,2,2,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,Baseline RAG,test-apps/python-string-utils/1,False,execution_tests,0.5861332511901856,1.0,3,5,3,0.6,1.0,0.7499999999999999,0.6,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoUncFilter,test-apps/python-string-utils/1,False,execution_tests,0.6891141319274903,1.0,3,5,3,0.6,1.0,0.7499999999999999,0.6,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoAPIRefine,test-apps/python-string-utils/1,False,execution_tests,0.6891141319274903,1.0,3,5,3,0.6,1.0,0.7499999999999999,0.6,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder,test-apps/python-string-utils/1,False,execution_tests,0.6891141319274903,1.0,3,3,3,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,ContextOnly,test-apps/python-string-utils/1,False,execution_tests,0.6891141319274903,,3,0,0,0.0,0.0,0.0,0.0,0.0,Under
RepoExec,GPT,gpt-4o-mini,API-informed reference,test-apps/python-string-utils/1,False,execution_tests,,,3,3,3,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,Baseline RAG,test-apps/python-string-utils/2,False,execution_tests,0.5754582738876344,1.0,4,6,4,0.6666666666666666,1.0,0.8,0.6666666666666666,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoUncFilter,test-apps/python-string-utils/2,False,execution_tests,0.6525172376632691,1.0,4,6,4,0.6666666666666666,1.0,0.8,0.6666666666666666,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoAPIRefine,test-apps/python-string-utils/2,False,execution_tests,0.6525172376632691,1.0,4,5,4,0.8,1.0,0.888888888888889,0.8,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder,test-apps/python-string-utils/2,False,execution_tests,0.6525172376632691,1.0,4,4,4,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,ContextOnly,test-apps/python-string-utils/2,False,execution_tests,0.6525172376632691,,4,0,0,0.0,0.0,0.0,0.0,0.0,Under
RepoExec,GPT,gpt-4o-mini,API-informed reference,test-apps/python-string-utils/2,False,execution_tests,,,4,4,4,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,Baseline RAG,test-apps/python-string-utils/4,True,execution_tests,0.7789586257934571,1.0,2,4,2,0.5,1.0,0.6666666666666666,0.5,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoUncFilter,test-apps/python-string-utils/4,True,execution_tests,0.7645294380187989,1.0,2,4,2,0.5,1.0,0.6666666666666666,0.5,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoAPIRefine,test-apps/python-string-utils/4,True,execution_tests,0.7645294380187989,1.0,2,4,2,0.5,1.0,0.6666666666666666,0.5,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder,test-apps/python-string-utils/4,True,execution_tests,0.7645294380187989,1.0,2,2,2,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,ContextOnly,test-apps/python-string-utils/4,True,execution_tests,0.7645294380187989,,2,0,0,0.0,0.0,0.0,0.0,0.0,Under
RepoExec,GPT,gpt-4o-mini,API-informed reference,test-apps/python-string-utils/4,True,execution_tests,,,2,2,2,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,Baseline RAG,test-apps/python-string-utils/5,True,execution_tests,0.40000002384185795,1.0,1,8,1,0.125,1.0,0.2222222222222222,0.125,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoUncFilter,test-apps/python-string-utils/5,True,execution_tests,0.40000002384185795,1.0,1,8,1,0.125,1.0,0.2222222222222222,0.125,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoAPIRefine,test-apps/python-string-utils/5,True,execution_tests,0.40000002384185795,1.0,1,5,1,0.2,1.0,0.33333333333333337,0.2,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder,test-apps/python-string-utils/5,True,execution_tests,0.40000002384185795,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,ContextOnly,test-apps/python-string-utils/5,True,execution_tests,0.40000002384185795,,1,0,0,0.0,0.0,0.0,0.0,0.0,Under
RepoExec,GPT,gpt-4o-mini,API-informed reference,test-apps/python-string-utils/5,True,execution_tests,,,1,1,1,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,Baseline RAG,test-apps/python-string-utils/6,True,execution_tests,0.5830295181274414,1.0,2,4,2,0.5,1.0,0.6666666666666666,0.5,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoUncFilter,test-apps/python-string-utils/6,True,execution_tests,0.5753846144676209,1.0,2,4,2,0.5,1.0,0.6666666666666666,0.5,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoAPIRefine,test-apps/python-string-utils/6,True,execution_tests,0.5753846144676209,1.0,2,4,2,0.5,1.0,0.6666666666666666,0.5,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder,test-apps/python-string-utils/6,True,execution_tests,0.5753846144676209,1.0,2,2,2,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,ContextOnly,test-apps/python-string-utils/6,True,execution_tests,0.5753846144676209,,2,0,0,0.0,0.0,0.0,0.0,0.0,Under
RepoExec,GPT,gpt-4o-mini,API-informed reference,test-apps/python-string-utils/6,True,execution_tests,,,2,2,2,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,Baseline RAG,test-apps/python-string-utils/7,False,execution_tests,0.7671932649612427,1.0,3,5,3,0.6,1.0,0.7499999999999999,0.6,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoUncFilter,test-apps/python-string-utils/7,True,execution_tests,0.766742594242096,1.0,3,5,3,0.6,1.0,0.7499999999999999,0.6,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder-NoAPIRefine,test-apps/python-string-utils/7,True,execution_tests,0.766742594242096,1.0,3,5,3,0.6,1.0,0.7499999999999999,0.6,0.0,Over
RepoExec,GPT,gpt-4o-mini,OpenCoder,test-apps/python-string-utils/7,True,execution_tests,0.766742594242096,1.0,3,3,3,1.0,1.0,1.0,1.0,1.0,Exact
RepoExec,GPT,gpt-4o-mini,ContextOnly,test-apps/python-string-utils/7,True,execution_tests,0.766742594242096,,3,0,0,0.0,0.0,0.0,0.0,0.0,Under
RepoExec,GPT,gpt-4o-mini,API-informed reference,test-apps/python-string-utils/7,True,execution_tests,,,3,3,3,1.0,1.0,1.0,1.0,1.0,Exact
