model,language,tasks,direct_exact_match,context_exact_match,exact_match_difference,bootstrap_ci95_low,bootstrap_ci95_high,wins,losses,ties,mcnemar_exact_p,direct_edit_similarity,context_edit_similarity,direct_identifier_f1,context_identifier_f1,functional_execution,mcnemar_holm_p
gpt-4o-mini,python,25,0.16,0.24,0.07999999999999999,0.0,0.2,2,0,23,0.5,0.6636,0.754,0.5574632034632034,0.6235755355755356,False,1.0
gpt-4o-mini,java,25,0.04,0.16,0.12,0.0,0.24,3,0,22,0.25,0.5852,0.6076,0.5152274261686026,0.5399560308972073,False,1.0
gpt-4o-mini,typescript,25,0.04,0.16,0.12,0.0,0.24,3,0,22,0.25,0.51,0.6308,0.42843290043290044,0.6196891996891997,False,1.0
gpt-4o-mini,csharp,25,0.0,0.04,0.04,0.0,0.12,1,0,24,1.0,0.5764,0.6456,0.25612698412698415,0.4059047619047619,False,1.0
gemini-2.5-flash,python,25,0.04,0.2,0.16,0.04,0.32,4,0,21,0.125,0.544,0.5504,0.4088629148629149,0.41673593073593074,False,0.5
gemini-2.5-flash,java,25,0.0,0.04,0.04,0.0,0.12,1,0,24,1.0,0.498,0.494,0.412602495543672,0.42628571428571427,False,1.0
gemini-2.5-flash,typescript,25,0.12,0.12,0.0,-0.16,0.16,2,2,21,1.0,0.4736,0.4908,0.4061904761904762,0.4926629318394024,False,1.0
gemini-2.5-flash,csharp,25,0.04,0.04,0.0,-0.12,0.12,1,1,23,1.0,0.4252,0.5004,0.2674285714285714,0.378984126984127,False,1.0
claude-sonnet-5,python,25,0.32,0.28,-0.03999999999999998,-0.12,0.0,0,1,24,1.0,0.6732,0.664,0.5902363542889859,0.6166577866577867,False,1.0
claude-sonnet-5,java,25,0.16,0.24,0.07999999999999999,-0.12,0.28,4,2,19,0.6875,0.566,0.6128,0.49423175517293166,0.547565088506265,False,1.0
claude-sonnet-5,typescript,25,0.12,0.28,0.16000000000000003,0.04,0.32,4,0,21,0.125,0.6068,0.6136,0.595012543012543,0.6013333333333333,False,0.375
claude-sonnet-5,csharp,25,0.04,0.28,0.24000000000000002,0.08,0.4,6,0,19,0.03125,0.6192,0.7028,0.4342857142857143,0.6091774891774892,False,0.125
qwen3-coder-plus,python,25,0.16,0.32,0.16,0.04,0.32,4,0,21,0.125,0.5344,0.6608,0.4631200564141741,0.6071001939237234,False,0.5
qwen3-coder-plus,java,25,0.08,0.16,0.08,0.0,0.2,2,0,23,0.5,0.6315999999999999,0.652,0.5699236319236319,0.5788644688644689,False,1.0
qwen3-coder-plus,typescript,25,0.04,0.12,0.07999999999999999,-0.08,0.24,3,1,21,0.625,0.5376,0.6344,0.438990231990232,0.5693290043290044,False,1.0
qwen3-coder-plus,csharp,25,0.0,0.08,0.08,0.0,0.2,2,0,23,0.5,0.6324,0.6896,0.31652969252969254,0.5268154068154068,False,1.0
