task_id,repository,model,method,candidate_correct_count,pass_at_1,pass_at_3,pass_at_5,selected_output_correct,static_success,initial_output_correct,post_selection_correct,verified_selection_applied,repair_attempted,repair_success,repair_rounds,uncertainty,token_entropy,self_consistency_uncertainty,semantic_variance,evidence_count,prompt_tokens,completion_tokens,total_tokens,provider_requests,latency_seconds,length_limited_candidates
execrepobench-0010-002176391c,Chronyk,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7477205109596253,1.0,0.8,0.13860255479812622,0,2436,1163,3599,1,5.181056333000015,0
execrepobench-1148-02d99ed352,xmltodict,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.518521933555603,1.0,0.19999999999999996,0.19260966777801514,0,1359,146,1505,1,1.6925345420022495,0
execrepobench-0784-02e45263da,objprint,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.8239140820503236,1.0,0.8,0.5195704102516174,0,1613,421,2034,1,2.844272791997355,0
execrepobench-0816-03d45d73c7,python-fastjsonschema,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7470849466323853,1.0,0.8,0.13542473316192627,0,1356,212,1568,1,2.3991944579975097,0
execrepobench-1029-058728f7cf,transitions,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7869820547103883,1.0,0.8,0.3349102735519409,0,1714,272,1986,1,2.729557124999701,0
execrepobench-0554-05be05dd86,imageio,gpt-4o-mini,Direct Generation,3,0.6,1.0,1.0,False,True,False,False,False,False,False,0,0.7688438844680787,1.0,0.8,0.24421942234039307,0,1803,1098,2901,1,17.21225679199415,0
execrepobench-0750-05f80185e6,more-itertools,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.685018756389618,1.0,0.6,0.2250937819480896,0,2179,238,2417,1,13.05464637499972,0
execrepobench-0691-062d3fc78e,moment,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.6827114129066467,1.0,0.6,0.21355706453323364,0,1106,229,1335,1,2.56992745900061,0
execrepobench-0021-08131e8bf2,PTable,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.400898814201355,1.0,0.0,0.004494071006774902,0,1289,2008,3297,1,5.098229625000386,0
execrepobench-0269-082945d36f,datetime_truncate,gpt-4o-mini,Direct Generation,3,0.6,1.0,1.0,True,True,True,True,False,False,False,0,0.6829089903831482,1.0,0.6,0.21454495191574097,0,1442,640,2082,1,5.210209125005349,0
execrepobench-1153-08525b8ede,xmltodict,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7501244497299195,1.0,0.8,0.15062224864959717,0,1737,387,2124,1,3.075212957999611,0
execrepobench-0729-0895fae602,more-itertools,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,True,False,False,False,False,False,0,0.7377254080772401,1.0,0.8,0.08862704038619995,0,2453,302,2755,1,13.136671500004013,0
execrepobench-0121-09f0009e5a,boltons,gpt-4o-mini,Direct Generation,0,0.0,0.0,0.0,False,False,False,False,False,False,False,0,0.7607639980316163,1.0,0.8,0.20381999015808105,0,1473,709,2182,1,4.165940291997686,0
