agent_id,family,model,condition,planned,evaluable,correct,correctness_evaluable,end_to_end_success
G001,GPT,gpt-4o-mini,generic_review,4,4,1,0.25,0.25
G001,GPT,gpt-4o-mini,uncertainty_display,4,4,2,0.5,0.5
G001,GPT,gpt-4o-mini,targeted_guidance,4,4,0,0.0,0.0
G002,Claude,claude-sonnet-4-6,generic_review,4,4,2,0.5,0.5
G002,Claude,claude-sonnet-4-6,uncertainty_display,4,4,2,0.5,0.5
G002,Claude,claude-sonnet-4-6,targeted_guidance,4,4,2,0.5,0.5
G003,Gemini,gemini-2.5-flash-lite,generic_review,4,3,0,0.0,0.0
G003,Gemini,gemini-2.5-flash-lite,uncertainty_display,4,3,2,0.6666666666666666,0.5
G003,Gemini,gemini-2.5-flash-lite,targeted_guidance,4,4,1,0.25,0.25
G004,DeepSeek,deepseek-v3.2,generic_review,4,2,1,0.5,0.25
G004,DeepSeek,deepseek-v3.2,uncertainty_display,4,2,2,1.0,0.5
G004,DeepSeek,deepseek-v3.2,targeted_guidance,4,3,1,0.3333333333333333,0.25
G005,Qwen,qwen3-coder-plus,generic_review,4,4,2,0.5,0.5
G005,Qwen,qwen3-coder-plus,uncertainty_display,4,4,2,0.5,0.5
G005,Qwen,qwen3-coder-plus,targeted_guidance,4,4,2,0.5,0.5
G006,Kimi,kimi-k2.7-code,generic_review,4,3,1,0.3333333333333333,0.25
G006,Kimi,kimi-k2.7-code,uncertainty_display,4,4,1,0.25,0.25
G006,Kimi,kimi-k2.7-code,targeted_guidance,4,2,2,1.0,0.5
G007,Grok,grok-code-fast-1,generic_review,4,4,2,0.5,0.5
G007,Grok,grok-code-fast-1,uncertainty_display,4,4,2,0.5,0.5
G007,Grok,grok-code-fast-1,targeted_guidance,4,4,1,0.25,0.25
G008,Llama,llama-4-maverick,generic_review,4,4,2,0.5,0.5
G008,Llama,llama-4-maverick,uncertainty_display,4,4,2,0.5,0.5
G008,Llama,llama-4-maverick,targeted_guidance,4,4,1,0.25,0.25
G009,GLM,glm-4.7,generic_review,4,4,2,0.5,0.5
G009,GLM,glm-4.7,uncertainty_display,4,4,2,0.5,0.5
G009,GLM,glm-4.7,targeted_guidance,4,4,2,0.5,0.5
G010,MiniMax,minimax-m2.5,generic_review,4,4,1,0.25,0.25
G010,MiniMax,minimax-m2.5,uncertainty_display,4,4,1,0.25,0.25
G010,MiniMax,minimax-m2.5,targeted_guidance,4,4,1,0.25,0.25
G011,Doubao,doubao-seed-2-0-code-preview-260215,generic_review,4,4,1,0.25,0.25
G011,Doubao,doubao-seed-2-0-code-preview-260215,uncertainty_display,4,4,2,0.5,0.5
G011,Doubao,doubao-seed-2-0-code-preview-260215,targeted_guidance,4,4,2,0.5,0.5
G012,ERNIE,ernie-4.5-turbo-32k,generic_review,4,4,2,0.5,0.5
G012,ERNIE,ernie-4.5-turbo-32k,uncertainty_display,4,4,1,0.25,0.25
G012,ERNIE,ernie-4.5-turbo-32k,targeted_guidance,4,4,1,0.25,0.25
